COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
one,82445,0,21,410465,295,1,4,unsat,high,considering,STAY
zero,58125,89,0,185269,168,5,13,avg,little,considering,LEAVE
one,87307,60,0,549711,337,3,9,unsat,little,never_thought,STAY
one,122047,177,47,291376,678,26,2,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,27900,0,89,961095,192,0,2,very_unsat,little,actively_looking_into_it,STAY
one,69605,71,0,292979,602,4,8,sat,very_little,considering,STAY
one,47309,34,17,706944,162,0,5,very_unsat,little,no,LEAVE
one,127363,0,40,194713,590,17,2,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,45949,0,22,160586,342,0,5,very_sat,little,no,STAY
one,40781,60,83,959272,182,5,2,very_unsat,little,actively_looking_into_it,STAY
one,25400,69,24,832557,137,3,5,very_sat,little,considering,STAY
one,92642,0,0,278806,323,0,10,avg,very_high,no,STAY
one,48643,51,14,273729,225,4,5,unsat,very_little,considering,STAY
one,109312,0,7,460373,839,1,14,very_unsat,little,no,STAY
one,126990,148,0,625543,327,27,13,very_sat,high,considering,LEAVE
zero,43270,0,0,206387,184,1,14,very_unsat,little,actively_looking_into_it,STAY
zero,100590,61,38,624256,655,4,2,very_sat,avg,considering,LEAVE
one,41928,195,78,594312,308,1,1,unsat,very_high,no,STAY
zero,77250,0,14,337160,719,1,4,very_unsat,little,never_thought,STAY
one,36912,201,23,660904,153,25,6,very_unsat,little,actively_looking_into_it,STAY
one,96905,0,76,823207,417,1,1,unsat,little,no,STAY
zero,73803,215,89,356757,285,17,1,very_sat,very_high,considering,STAY
one,95511,51,0,836285,341,4,11,unsat,very_high,no,STAY
zero,20301,198,9,775148,236,10,5,unsat,very_high,considering,STAY
one,26224,49,75,282685,189,4,1,very_sat,very_little,perhaps,LEAVE
zero,60247,46,6,677211,392,3,5,very_unsat,little,never_thought,LEAVE
one,145921,83,19,206669,648,3,5,very_unsat,little,actively_looking_into_it,LEAVE
one,87068,0,0,287007,325,0,13,very_sat,high,actively_looking_into_it,STAY
one,32469,0,7,551613,603,1,1,very_unsat,very_little,considering,STAY
zero,69043,68,66,158894,328,5,2,unsat,very_high,considering,LEAVE
zero,84428,269,36,916931,382,29,2,avg,very_high,never_thought,STAY
one,60340,55,23,463276,260,5,6,unsat,very_high,actively_looking_into_it,STAY
one,62008,52,34,387500,361,4,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,54724,0,0,221808,383,1,9,very_unsat,very_high,considering,STAY
zero,130474,51,5,486033,406,3,4,unsat,very_high,considering,LEAVE
zero,22289,208,0,957665,888,29,11,very_unsat,little,considering,STAY
one,123736,186,0,214178,809,17,14,very_unsat,little,considering,LEAVE
zero,93774,0,42,688511,332,0,2,very_sat,little,considering,LEAVE
zero,25564,226,68,856112,197,28,1,avg,very_high,considering,STAY
one,145941,229,32,302171,838,20,2,sat,little,never_thought,STAY
zero,47461,0,79,259736,223,1,2,avg,little,no,STAY
zero,23276,43,0,442366,228,5,4,very_sat,little,never_thought,LEAVE
one,133475,0,0,701029,436,0,10,unsat,avg,considering,LEAVE
one,81357,73,5,586446,343,3,5,very_sat,little,considering,STAY
zero,152332,0,10,756687,615,27,2,very_unsat,very_little,actively_looking_into_it,STAY
zero,116173,0,19,635499,781,1,6,very_sat,little,considering,STAY
zero,21490,0,14,627191,247,1,5,very_sat,very_little,never_thought,STAY
zero,119535,154,29,436124,497,20,5,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,86580,58,0,537345,343,3,10,avg,high,no,LEAVE
one,39712,211,18,756064,136,21,4,very_sat,little,actively_looking_into_it,STAY
zero,46530,0,58,184215,153,1,1,unsat,little,never_thought,LEAVE
zero,21970,0,10,268578,202,1,4,sat,little,considering,STAY
one,57467,242,6,212802,304,29,5,unsat,little,no,LEAVE
zero,139708,59,42,918505,859,4,1,very_unsat,very_high,considering,LEAVE
zero,28372,59,88,314272,197,3,1,unsat,high,perhaps,LEAVE
one,155146,192,65,353752,304,12,2,sat,little,considering,LEAVE
one,129276,186,40,463452,662,16,6,very_unsat,little,no,STAY
one,104737,0,21,184707,896,1,6,avg,very_little,actively_looking_into_it,STAY
zero,45805,155,12,500106,395,18,6,very_sat,very_little,considering,STAY
zero,57116,0,0,778803,345,1,8,avg,little,considering,STAY
one,45306,0,56,647423,157,1,2,avg,little,never_thought,STAY
one,116865,0,10,269382,899,0,5,unsat,very_high,no,STAY
zero,43574,0,13,517019,140,24,6,very_sat,little,considering,STAY
one,154949,38,10,268361,794,4,5,avg,little,actively_looking_into_it,LEAVE
zero,136589,0,7,412075,786,0,5,very_sat,little,never_thought,STAY
one,142684,60,44,642604,593,4,2,very_sat,very_high,perhaps,STAY
zero,46427,0,0,268784,610,0,10,avg,very_little,no,LEAVE
zero,32565,58,18,165565,209,4,5,very_sat,very_little,actively_looking_into_it,STAY
zero,95230,0,0,236133,263,1,14,very_sat,very_little,considering,STAY
one,104036,0,12,156091,684,0,4,unsat,very_high,actively_looking_into_it,STAY
zero,120258,192,0,431783,838,24,5,very_unsat,little,considering,LEAVE
one,80068,198,18,455601,334,20,5,very_sat,very_high,perhaps,LEAVE
one,51514,0,10,163023,185,1,1,very_sat,little,no,STAY
one,45734,0,0,177169,199,0,8,very_unsat,very_high,actively_looking_into_it,STAY
zero,41835,64,9,276831,226,4,5,very_sat,very_little,no,LEAVE
one,127649,0,0,292249,549,4,9,very_unsat,little,never_thought,LEAVE
zero,23545,58,79,251776,218,5,2,very_sat,little,never_thought,LEAVE
one,40141,81,63,428114,874,3,2,very_sat,avg,no,STAY
one,149409,0,18,644819,438,0,6,very_sat,very_high,no,STAY
zero,25045,80,0,170863,216,4,10,unsat,avg,considering,STAY
zero,32611,0,10,740731,192,1,4,very_unsat,high,actively_looking_into_it,STAY
zero,31365,96,0,185804,196,5,10,very_sat,high,no,STAY
one,158159,0,0,790965,448,1,15,unsat,very_high,actively_looking_into_it,STAY
zero,149008,201,0,865600,487,27,15,unsat,avg,considering,LEAVE
one,149574,0,7,379942,514,1,4,very_unsat,very_high,perhaps,STAY
zero,93832,0,0,662941,348,0,15,avg,little,perhaps,LEAVE
one,98840,196,5,473153,437,25,5,very_unsat,very_high,considering,LEAVE
zero,96388,82,0,895615,326,3,12,very_sat,little,considering,STAY
one,53138,246,8,630570,760,27,4,very_sat,little,actively_looking_into_it,STAY
one,27528,194,0,985470,244,14,15,very_unsat,little,never_thought,STAY
zero,48515,176,0,507564,697,25,12,very_unsat,high,actively_looking_into_it,LEAVE
one,98061,223,6,323792,301,29,2,avg,very_high,actively_looking_into_it,LEAVE
one,58102,164,0,193313,301,28,12,very_sat,little,no,LEAVE
one,21824,175,74,972571,241,1,2,sat,little,no,LEAVE
one,71889,68,0,160677,372,4,8,very_unsat,very_little,considering,LEAVE
one,83030,204,51,181353,341,25,2,very_unsat,very_little,no,LEAVE
zero,54060,0,59,207234,255,0,1,unsat,little,never_thought,LEAVE
one,135701,0,21,695074,628,1,5,very_sat,little,considering,STAY
zero,30423,183,79,918349,243,11,1,very_unsat,little,actively_looking_into_it,STAY
zero,115065,167,54,589859,707,15,2,avg,little,no,LEAVE
one,144440,199,14,588020,498,28,2,unsat,little,considering,STAY
zero,64804,54,0,507194,395,5,9,very_unsat,very_high,considering,STAY
one,102068,234,0,221134,877,22,10,very_sat,very_little,considering,STAY
zero,97929,160,22,960849,397,14,6,very_sat,little,no,STAY
zero,21491,50,0,956440,155,5,9,very_unsat,very_little,considering,STAY
zero,87151,215,0,816114,321,17,15,avg,little,considering,STAY
zero,141565,79,0,826328,635,3,8,avg,very_high,actively_looking_into_it,STAY
one,113878,51,0,863737,760,4,12,very_sat,little,never_thought,STAY
zero,28775,0,0,183506,152,1,10,unsat,little,perhaps,STAY
one,78693,52,48,814268,325,3,1,very_unsat,very_little,never_thought,STAY
zero,74695,79,8,453957,291,5,5,unsat,very_little,actively_looking_into_it,LEAVE
one,103941,189,27,862439,866,12,2,unsat,very_little,considering,LEAVE
one,120442,44,17,956776,418,4,4,very_unsat,very_little,considering,LEAVE
one,96693,59,0,286611,270,3,9,very_sat,little,actively_looking_into_it,LEAVE
one,29705,63,18,484834,229,5,4,very_unsat,very_little,actively_looking_into_it,LEAVE
one,76428,0,0,383858,322,0,15,very_unsat,little,actively_looking_into_it,STAY
one,43103,222,71,900814,231,13,2,very_unsat,little,actively_looking_into_it,STAY
zero,66476,71,20,766184,274,5,4,very_sat,very_little,actively_looking_into_it,STAY
one,33803,0,26,364981,146,1,1,very_sat,very_high,considering,LEAVE
zero,147214,173,0,215937,897,27,13,very_unsat,very_little,actively_looking_into_it,LEAVE
one,154979,0,12,880601,529,1,4,very_unsat,very_high,considering,STAY
one,93157,0,0,686130,361,0,12,unsat,very_little,considering,STAY
zero,27534,245,0,209172,177,25,13,unsat,very_high,considering,LEAVE
zero,41119,0,13,469421,576,0,5,very_unsat,little,actively_looking_into_it,STAY
zero,50644,173,26,153888,316,4,1,unsat,little,actively_looking_into_it,LEAVE
zero,45050,204,75,230089,134,29,1,unsat,little,considering,STAY
zero,76483,219,22,563402,140,29,5,very_unsat,little,never_thought,LEAVE
zero,92800,71,19,577570,384,4,4,sat,little,never_thought,STAY
one,66908,0,71,290560,739,0,2,very_unsat,very_little,considering,LEAVE
one,109604,92,21,273203,249,3,4,very_sat,very_high,no,STAY
zero,100297,237,0,728198,623,23,13,very_unsat,little,considering,STAY
zero,72677,247,80,717243,349,11,2,very_sat,little,considering,STAY
zero,46533,182,88,550252,144,24,6,very_sat,little,no,LEAVE
zero,54535,155,0,204608,364,14,11,unsat,very_high,actively_looking_into_it,STAY
one,123342,0,0,876330,562,0,11,very_sat,very_high,considering,STAY
one,42640,161,47,569674,246,17,2,unsat,little,considering,LEAVE
zero,94457,0,0,995388,313,0,14,sat,high,considering,STAY
zero,36584,0,18,254062,208,1,5,very_sat,very_high,considering,LEAVE
one,99627,0,0,181261,264,1,4,very_sat,very_high,no,STAY
zero,110377,0,17,189348,580,0,6,very_sat,very_high,considering,STAY
zero,42928,0,78,739424,244,0,2,unsat,very_little,actively_looking_into_it,STAY
one,133385,0,28,375991,710,0,1,very_sat,very_high,actively_looking_into_it,LEAVE
zero,71556,159,63,225686,321,29,1,very_unsat,very_high,perhaps,LEAVE
one,150692,184,0,671805,631,0,6,unsat,little,no,STAY
one,98591,209,21,404095,327,16,4,unsat,very_little,no,LEAVE
zero,81553,54,11,918883,436,5,5,unsat,high,considering,STAY
one,23372,55,0,686560,211,3,13,very_unsat,very_little,considering,LEAVE
zero,83154,256,60,695307,281,22,2,unsat,very_high,considering,LEAVE
zero,55039,194,0,418652,892,29,8,very_unsat,little,actively_looking_into_it,LEAVE
one,157317,62,49,968108,565,5,6,very_unsat,very_high,considering,LEAVE
zero,31323,89,76,310397,188,3,5,very_sat,little,actively_looking_into_it,LEAVE
one,60587,29,51,412945,288,3,2,avg,very_high,considering,LEAVE
one,110383,50,16,630305,648,3,4,unsat,little,considering,LEAVE
one,31874,206,0,797889,180,16,10,very_unsat,very_little,considering,STAY
zero,67035,237,0,823407,393,28,10,very_sat,high,actively_looking_into_it,LEAVE
zero,57276,58,12,416960,326,4,1,sat,very_little,considering,LEAVE
one,159904,227,67,477339,889,23,1,very_unsat,avg,actively_looking_into_it,LEAVE
one,26877,72,75,159973,231,3,2,very_sat,little,perhaps,LEAVE
zero,21583,81,6,395324,187,5,4,unsat,high,no,STAY
one,30321,216,70,911681,234,10,10,avg,little,considering,STAY
one,68783,0,67,210338,364,0,2,unsat,little,no,LEAVE
zero,139546,199,82,191616,790,23,1,very_unsat,very_little,considering,STAY
zero,44287,0,23,409048,241,4,5,unsat,very_high,considering,STAY
zero,114834,39,86,319621,768,3,1,very_sat,little,no,LEAVE
zero,64911,0,0,183859,365,0,14,very_sat,very_little,never_thought,STAY
one,45539,215,0,447797,360,24,13,very_unsat,high,considering,LEAVE
zero,99983,198,18,653137,426,12,5,very_unsat,very_little,perhaps,STAY
zero,23126,185,24,491412,130,25,4,unsat,little,considering,LEAVE
zero,139882,196,24,776070,708,16,6,very_unsat,very_high,considering,LEAVE
zero,21976,66,0,426410,354,5,11,very_unsat,little,actively_looking_into_it,LEAVE
one,44176,149,24,490186,204,26,1,very_sat,little,considering,LEAVE
one,108587,0,51,715579,863,1,1,unsat,little,perhaps,LEAVE
zero,27812,0,12,258433,246,1,6,avg,very_little,actively_looking_into_it,STAY
zero,106893,231,6,189574,515,0,5,very_sat,little,actively_looking_into_it,LEAVE
one,39151,211,0,530423,228,21,1,very_sat,little,actively_looking_into_it,STAY
zero,36718,0,0,461143,249,0,2,very_unsat,high,never_thought,LEAVE
zero,80095,81,0,196939,255,0,13,very_unsat,high,never_thought,LEAVE
one,23727,0,0,166796,168,0,8,very_unsat,little,no,STAY
one,50906,190,63,152261,277,19,1,avg,little,actively_looking_into_it,LEAVE
zero,151155,206,86,897276,207,1,1,avg,little,actively_looking_into_it,STAY
one,42656,0,11,283767,207,1,4,sat,very_high,no,STAY
one,134725,66,19,246731,571,4,6,sat,very_little,no,LEAVE
zero,133941,52,20,378236,897,3,6,very_sat,very_high,considering,LEAVE
one,158010,0,24,158520,422,0,6,very_sat,very_high,considering,STAY
